Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
Ospekistanmur,proper,'mur' added for clarity,Uzbekistan/Republic of Uzbekistan,,,,,country,,,Uzbek,O'zbekiston,,
Ostarariyater,proper,the continent; 'ter' added for clarity,Australia,,,,,continent,,,English,Australia,,
ot,basic,,,get/attain/take/grab/download/buy/claim,,,,,,,Korean,얻다,eodda,
ox,basic,,instrument/tool/equipment,use/play,equipped,,,,,,Hindi,औज़ार,aujaar,
oxat,basic,,medicine/drug/pill,,,, ,,,,Marathi,औषध,Auṣadha,
paf,basic,,feeling/emotion,feel/sense by emotion,emotional,emotionally,,,,,Hindi,भावना,bhaavana,
pah,basic,,outside/exit,leave/exit/exclude,outside,out,out from/out of,,,,Hindi,बाहर,baahar,pa
pak,basic,both the creature and the computer term,bug,,,,,animal/nature,,,English,bug,,
Pakistanmur,proper,'mur' added for clarity,Pakistan/Islamic Republic of Pakistan,,,,,country,,,Punjabi,ਪਾਕਿਸਤਾਨ,Pākisatāna,
pam,basic,the direction of left (vs right),left,,,left,,direction,adv,8,Bangla,বামে,bāmē,
pamur,,,,,foreign,,,,,,Orostara,pah mur,,
pan,basic,,fruit,,,,,food,,,Telugu,పండు,Paṇḍu,
paner,basic,,needle/pin,,,,,,,,Korean,바늘,baneul,
Panratar,proper,'tar' added for clarity,Bangla/Bengali,,,,,language,,,Bangla,বাংলা,Bānlā,
Panratexmur,proper,'mur' added for clarity,Bangladesh/People's Republic of Bangladesh,,,,,country,,,Bangla,বাংলাদেশ,Bānlādēśa,
pantar,basic,,storage/inventory/supply,store/save/backup,,,,,,,Hindi,भंडार,bhandaar,
pantay,basic,,sneeze,sneeze,,,,body,,69,Cantonese,喷嚏,pan tai,
paof,basic,,storm,,,,,nature,,,Mandarin Chinese,暴風,,
